,userID,ISBN,bookRating,bookTitle,totalRatingCount,Location
0,276725,034545104X,0,Flesh Tones: A Novel,60,"tyler, texas, usa"
1,2313,034545104X,5,Flesh Tones: A Novel,60,"cincinnati, ohio, usa"
2,6543,034545104X,0,Flesh Tones: A Novel,60,"strafford, missouri, usa"
3,8680,034545104X,5,Flesh Tones: A Novel,60,"st. charles county, missouri, usa"
4,10314,034545104X,9,Flesh Tones: A Novel,60,"beaverton, oregon, usa"
5,23768,034545104X,0,Flesh Tones: A Novel,60,"st. louis, missouri, usa"
6,28266,034545104X,0,Flesh Tones: A Novel,60,"portland, oregon, usa"
7,28523,034545104X,0,Flesh Tones: A Novel,60,"springfield, missouri, usa"
8,50403,034545104X,9,Flesh Tones: A Novel,60,"conway, arkansas, usa"
9,56157,034545104X,0,Flesh Tones: A Novel,60,"florissant, missouri, usa"
10,59102,034545104X,0,Flesh Tones: A Novel,60,"plantation, florida, usa"
11,59287,034545104X,0,Flesh Tones: A Novel,60,"tyler, texas, usa"
12,63970,034545104X,8,Flesh Tones: A Novel,60,"springfield, missouri, usa"
13,77480,034545104X,8,Flesh Tones: A Novel,60,"gig harbor, washington, usa"
14,81977,034545104X,0,Flesh Tones: A Novel,60,"minneapolis, minnesota, usa"
15,94362,034545104X,5,Flesh Tones: A Novel,60,"northridge, california, usa"
16,98391,034545104X,9,Flesh Tones: A Novel,60,"morrow, georgia, usa"
17,112199,034545104X,6,Flesh Tones: A Novel,60,"union, kentucky, usa"
18,115435,034545104X,5,Flesh Tones: A Novel,60,"cincinnati, ohio, usa"
19,123981,034545104X,0,Flesh Tones: A Novel,60,"phoenix, arizona, usa"
20,128045,034545104X,7,Flesh Tones: A Novel,60,"clearwater, florida, usa"
21,129311,034545104X,7,Flesh Tones: A Novel,60,"portland, oregon, usa"
22,132081,034545104X,0,Flesh Tones: A Novel,60,"cranston, rhode island, usa"
23,133235,034545104X,0,Flesh Tones: A Novel,60,"addison, texas, usa"
24,135045,034545104X,0,Flesh Tones: A Novel,60,"spring, texas, usa"
25,138543,034545104X,0,Flesh Tones: A Novel,60,"mesquite, texas, usa"
26,144315,034545104X,0,Flesh Tones: A Novel,60,"tempe, arizona, usa"
27,144486,034545104X,0,Flesh Tones: A Novel,60,"jacksonville, florida, usa"
28,145451,034545104X,0,Flesh Tones: A Novel,60,"winter haven, florida, usa"
29,147799,034545104X,0,Flesh Tones: A Novel,60,"saint louis, missouri, usa"
30,158506,034545104X,0,Flesh Tones: A Novel,60,"woodland hills, california, usa"
31,163202,034545104X,0,Flesh Tones: A Novel,60,"los angeles, california, usa"
32,168816,034545104X,0,Flesh Tones: A Novel,60,"santa clara, california, usa"
